nOrigFlips	sum of normal coordinatess	flips required	topologicalSuccess	geometricSuccess
100	99	95	1	1
100	100	100	1	1
100	98	98	1	1
100	103	100	1	1
100	103	101	1	1
100	102	98	1	1
100	100	100	1	1
100	105	101	1	1
100	105	100	1	1
100	98	97	1	1
250	238	224	1	1
250	262	248	1	1
250	258	245	1	0
250	251	242	1	0
250	247	237	1	1
250	248	239	1	0
250	258	244	1	0
250	242	236	1	1
250	242	235	1	1
250	242	234	1	0
500	508	464	1	0
500	498	456	1	0
500	492	452	1	0
500	484	442	1	0
500	474	442	1	0
500	482	439	1	0
500	473	444	1	0
500	505	462	1	0
500	503	468	1	0
500	493	448	1	0
1000	971	828	1	0
1000	1015	848	1	0
1000	988	837	1	0
1000	977	833	1	0
1000	916	790	1	0
1000	936	795	1	0
1000	963	832	1	0
1000	959	807	1	0
1000	929	810	1	0
1000	973	838	1	0
2000	1742	1348	1	0
2000	1770	1366	1	0
2000	1633	1295	1	0
2000	1734	1370	1	0
2000	1732	1360	1	0
2000	1788	1394	1	0
2000	1647	1309	1	0
2000	1715	1338	1	0
2000	1840	1401	1	0
2000	1687	1291	1	0
3000	2264	1653	1	0
3000	2301	1698	1	0
3000	2304	1692	1	0
3000	2286	1676	1	0
3000	2358	1696	1	0
3000	2341	1730	1	0
3000	2213	1638	1	0
3000	2281	1664	1	0
3000	2437	1766	1	0
3000	2443	1755	1	0
4000	2558	1808	1	0
4000	2779	1961	1	0
4000	2796	1995	1	0
4000	2724	1893	1	0
4000	2758	1899	1	0
4000	2917	2027	1	0
4000	2685	1910	1	0
4000	2660	1897	1	0
4000	2705	1904	1	0
4000	2531	1845	1	0
5000	3122	2183	1	0
5000	3119	2154	1	0
5000	3012	2044	1	0
5000	3020	2066	1	0
5000	3124	2112	1	0
5000	2994	2027	1	0
5000	2919	2014	1	0
5000	2944	2015	1	0
5000	2986	2042	1	0
5000	2837	2036	1	0
7500	3644	2421	1	0
7500	3774	2474	1	0
7500	3675	2394	1	0
7500	3745	2450	1	0
7500	3530	2336	1	0
7500	3675	2375	1	0
7500	3680	2412	1	0
7500	3990	2498	1	0
7500	3702	2420	1	0
7500	3558	2335	1	0
10000	4227	2576	1	0
10000	4065	2575	1	0
10000	4376	2653	1	0
10000	4213	2684	1	0
10000	4133	2603	1	0
10000	4202	2665	1	0
10000	4016	2513	1	0
10000	4166	2597	1	0
10000	4201	2640	1	0
10000	4249	2669	1	0
20000	4975	2953	1	0
20000	5072	2992	1	0
20000	5083	3043	1	0
20000	4985	3019	1	0
20000	5252	3093	1	0
20000	5255	3076	1	0
20000	5243	3105	1	0
20000	5513	3235	1	0
20000	4907	2954	1	0
20000	5396	3175	1	0
50000	6329	3574	1	0
50000	6225	3455	1	0
50000	5689	3265	1	0
50000	6241	3469	1	0
50000	6067	3432	1	0
50000	6545	3649	1	0
50000	5944	3297	1	0
50000	6118	3482	1	0
50000	6332	3534	1	0
50000	6566	3618	1	0
100000	7073	3770	1	0
100000	7302	3875	1	0
100000	7494	3951	1	0
100000	7051	3864	1	0
100000	7471	3957	1	0
100000	7404	3974	1	0
100000	7188	3789	1	0
100000	6817	3651	1	0
100000	6143	3401	1	0
100000	7208	3872	1	0
1000000	8439	4280	1	0
1000000	8722	4370	1	0
1000000	9763	4648	1	0
1000000	9311	4515	1	0
1000000	9609	4693	1	0
1000000	8594	4362	1	0
1000000	8511	4357	1	0
1000000	8046	4090	1	0
1000000	8302	4134	1	0
1000000	8627	4276	1	0
